/dev/sda10 /var/lib/system-image ext4 rw,relatime,discard,nodelalloc,data=journal 0 0
/dev/sda10 /var/lib/systemd ext4 rw,relatime,discard,nodelalloc,data=journal 0 0
/dev/sda10 /var/lib/urfkill ext4 rw,relatime,discard,nodelalloc,data=journal 0 0
/dev/sda10 /var/lib/upower ext4 rw,relatime,discard,nodelalloc,data=journal 0 0
/dev/sda10 /var/lib/usb-moded ext4 rw,relatime,discard,nodelalloc,data=journal 0 0
/dev/sda10 /var/lib/usermetrics ext4 rw,relatime,discard,nodelalloc,data=journal 0 0
/dev/sda10 /var/lib/waydroid ext4 rw,relatime,discard,nodelalloc,data=journal 0 0
/dev/sda10 /var/snap ext4 rw,relatime,discard,nodelalloc,data=journal 0 0
/dev/sda10 /var/log ext4 rw,relatime,discard,nodelalloc,data=journal 0 0
/dev/sda10 /var/tmp ext4 rw,relatime,discard,nodelalloc,data=journal 0 0
