t,usb0,mac,carrier,host_txp,host_rxp,ping15,ping82,http22,status8080
14:35:56,1,36:f7:e9:0c:86:ad,1,641,143,N,N,N,N
14:36:00,1,36:f7:e9:0c:86:ad,1,648,143,N,N,N,N
14:36:04,1,36:f7:e9:0c:86:ad,1,653,143,N,N,N,N
14:36:08,1,36:f7:e9:0c:86:ad,1,660,143,N,N,N,N
14:36:12,1,36:f7:e9:0c:86:ad,1,665,143,N,N,N,N
14:36:17,1,36:f7:e9:0c:86:ad,1,672,143,N,N,N,N
14:36:21,1,36:f7:e9:0c:86:ad,1,677,143,N,N,N,N
14:36:25,1,36:f7:e9:0c:86:ad,1,683,143,N,N,N,N
14:36:29,1,36:f7:e9:0c:86:ad,1,689,143,N,N,N,N
14:36:33,1,36:f7:e9:0c:86:ad,1,695,143,N,N,N,N
14:36:37,1,36:f7:e9:0c:86:ad,1,701,143,N,N,N,N
14:36:41,1,36:f7:e9:0c:86:ad,1,707,143,N,N,N,N
14:36:45,1,36:f7:e9:0c:86:ad,1,713,143,N,N,N,N
14:36:49,1,36:f7:e9:0c:86:ad,1,719,143,N,N,N,N
14:36:53,1,36:f7:e9:0c:86:ad,1,725,143,N,N,N,N
14:36:57,1,36:f7:e9:0c:86:ad,1,731,143,N,N,N,N
14:37:01,1,36:f7:e9:0c:86:ad,1,737,143,N,N,N,N
14:37:05,1,36:f7:e9:0c:86:ad,1,743,143,N,N,N,N
14:37:09,1,36:f7:e9:0c:86:ad,1,749,143,N,N,N,N
14:37:13,1,36:f7:e9:0c:86:ad,1,755,143,N,N,N,N
14:37:17,1,36:f7:e9:0c:86:ad,1,761,143,N,N,N,N
14:37:21,1,36:f7:e9:0c:86:ad,1,767,143,N,N,N,N
14:37:25,1,36:f7:e9:0c:86:ad,1,773,143,N,N,N,N
14:37:29,1,36:f7:e9:0c:86:ad,1,779,143,N,N,N,N
14:37:33,1,36:f7:e9:0c:86:ad,1,786,143,N,N,N,N
14:37:37,1,36:f7:e9:0c:86:ad,1,793,143,N,N,N,N
14:37:41,1,36:f7:e9:0c:86:ad,1,798,143,N,N,N,N
14:37:45,1,36:f7:e9:0c:86:ad,1,803,143,N,N,N,N
14:37:50,1,36:f7:e9:0c:86:ad,1,810,143,N,N,N,N
14:37:54,1,36:f7:e9:0c:86:ad,1,815,143,N,N,N,N
14:37:58,1,36:f7:e9:0c:86:ad,1,822,143,N,N,N,N
